-64.078, 52.927, 84.114
-62.083, 52.789, 84.114
-60.088, 52.651, 84.114
-58.092, 52.514, 84.977
-56.097, 52.38, 84.977
-54.101, 52.246, 84.977
-52.106, 52.113, 84.031
-50.11, 51.979, 84.031
-48.115, 51.845, 84.031
-46.119, 51.709, 82.894
-44.124, 51.571, 82.894
-42.129, 51.433, 82.894
-40.134, 51.286, 81.594
-38.14, 51.138, 81.594
-36.146, 50.985, 80.112
-34.152, 50.823, 80.112
-32.159, 50.66, 80.112
-30.167, 50.48, 78.429
-28.175, 50.297, 78.429
-26.185, 50.101, 76.527
-24.196, 49.891, 76.527
-22.207, 49.678, 74.39
-20.222, 49.434, 74.39
-18.237, 49.191, 74.39
-16.257, 48.914, 72.008
-14.277, 48.63, 72.008
-12.302, 48.317, 69.379
-10.33, 47.984, 69.379
-8.362, 47.627, 66.519
-6.4, 47.238, 66.519
-4.443, 46.828, 63.461
-2.495, 46.374, 63.461
-0.552, 45.902, 60.269
1.377, 45.375, 60.269
3.301, 44.828, 57.039
5.206, 44.22, 57.039
7.103, 43.587, 53.903
8.978, 42.891, 53.903
10.84, 42.161, 51.025
12.676, 41.37, 51.025
14.492, 40.534, 48.588
16.282, 39.642, 48.588
18.042, 38.692, 46.773
19.776, 37.697, 46.773
21.467, 36.63, 45.73
23.137, 35.53, 45.73
24.748, 34.346, 45.551
26.345, 33.142, 45.551
27.868, 31.846, 46.248
29.384, 30.542, 46.248
30.814, 29.142, 47.752
32.239, 27.739, 49.923
33.576, 26.253, 49.923
34.911, 24.763, 52.578
36.155, 23.197, 52.578
37.399, 21.631, 52.578
38.552, 19.997, 55.523
39.702, 18.36, 55.523
40.776, 16.674, 58.577
41.833, 14.976, 58.577
42.838, 13.248, 61.593
43.806, 11.498, 61.593
44.754, 9.737, 64.462
45.636, 7.942, 64.462
46.519, 6.147, 64.462
47.338, 4.323, 67.116
48.14, 2.491, 67.116
48.926, 0.652, 69.515
49.653, -1.211, 69.515
50.379, -3.074, 69.515
51.072, -4.95, 71.65
51.729, -6.839, 71.65
52.386, -8.728, 71.65
53.003, -10.63, 73.524
53.596, -12.54, 73.524
54.189, -14.451, 73.524
54.746, -16.371, 75.154
55.281, -18.298, 75.154
55.815, -20.226, 75.154
56.326, -22.159, 76.562
56.807, -24.1, 76.562
57.288, -26.042, 76.562
57.765, -27.984, 77.772
58.197, -29.937, 77.772
58.63, -31.889, 77.772
59.062, -33.842, 77.772
59.47, -35.8, 78.808
59.858, -37.762, 77.577
60.246, -39.724, 74.23
60.634, -41.686, 70.726
60.99, -43.654, 67.039
61.338, -45.623, 63.136
61.686, -47.593, 58.976
62.034, -49.562, 54.499
62.35, -51.537, 49.62
62.662, -53.513, 44.206
62.973, -55.488, 38.029
63.285, -57.464, 30.63
63.824, -61.118, 0
63.824, -61.118, 0
66.744, -80.904, 0
endData
127
85
200
-64.078, 52.927, 12.271, 47.515, 47.781, 51.183, 63.824, -61.118
#PATH.JERRYIO-DATA {"appVersion":"0.8.3","format":"LemLib v0.5","gc":{"robotWidth":11.811023622047244,"robotHeight":11.811023622047244,"robotIsHolonomic":false,"showRobot":false,"uol":2.54,"pointDensity":2,"controlMagnetDistance":0.7750015500031,"fieldImage":{"displayName":"V5RC 2025 - High Stakes (Skills)","signature":"V5RC 2025 - High Stakes (Skills)","origin":{"__type":"built-in"}},"coordinateSystem":"VEX Gaming Positioning System"},"paths":[{"segments":[{"controls":[{"uid":"3sl5dfX6Xs","x":-64.078,"y":52.927,"lock":false,"visible":true,"heading":90,"__type":"end-point"},{"uid":"FbBFE0YwNI","x":12.27077423310078,"y":47.51523691077817,"lock":false,"visible":true,"__type":"control"},{"uid":"fDcTngwKO6","x":47.78090205461943,"y":51.182778576307555,"lock":false,"visible":true,"__type":"control"},{"uid":"oAb60GsEi5","x":63.824,"y":-61.118,"lock":false,"visible":true,"heading":180,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"rfXITchhqP"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":127,"label":"127"},"step":1,"from":20,"to":85},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":1,"label":"1"},"step":0.001,"from":0,"to":0.011},"maxDecelerationRate":127},"name":"Path","uid":"SNcBXiz4kO","lock":false,"visible":true}]}
